2026-02-14 10:54:47.251 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 10:54:47.252 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 10:54:47.252 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 10:54:47.252 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T10:54:47.252974
2026-02-14 10:54:47.253 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 10:54:47.538 | WARNING  | app.auth.jwt:<module>:27 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 10:54:48.670 | INFO     | app.sentiment.strategies:__init__:137 | LexiconStrategy initialized
2026-02-14 10:54:48.674 | INFO     | app.sentiment.strategies:__init__:190 | PatternStrategy initialized
2026-02-14 10:54:48.675 | INFO     | app.sentiment.strategies:__init__:296 | StatisticalStrategy initialized
2026-02-14 10:54:48.679 | INFO     | app.sentiment.rules:__init__:125 | SentimentRulesEngine initialized
2026-02-14 10:54:48.682 | INFO     | app.sentiment.analyzer:__init__:37 | SentimentAnalyzer initialized
2026-02-14 10:54:52.280 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 10:54:52.282 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 10:54:52.284 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 10:54:52.285 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 10:54:52.286 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 10:54:52.286 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 10:54:52.288 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T10:54:52.288861
2026-02-14 10:54:52.293 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 10:54:52.567 | WARNING  | app.auth.jwt:<module>:27 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 10:54:53.708 | INFO     | app.sentiment.strategies:__init__:137 | LexiconStrategy initialized
2026-02-14 10:54:53.708 | INFO     | app.sentiment.strategies:__init__:190 | PatternStrategy initialized
2026-02-14 10:54:53.709 | INFO     | app.sentiment.strategies:__init__:296 | StatisticalStrategy initialized
2026-02-14 10:54:53.710 | INFO     | app.sentiment.rules:__init__:125 | SentimentRulesEngine initialized
2026-02-14 10:54:53.711 | INFO     | app.sentiment.analyzer:__init__:37 | SentimentAnalyzer initialized
2026-02-14 10:57:33.610 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 10:57:33.617 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 10:57:33.621 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 10:57:33.631 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 10:57:33.651 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
