2026-02-14 11:01:17.145 | WARNING  | app.auth.jwt:<module>:36 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 11:01:29.483 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:01:29.512 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:01:29.525 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:01:29.535 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:01:29.603 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:01:29.627 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:01:29.640 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:01:29.640992
2026-02-14 11:01:29.655 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:01:29.870 | WARNING  | app.auth.jwt:<module>:36 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 11:02:23.831 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:02:23.840 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:02:23.854 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:02:23.855 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:02:23.896 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:02:23.929 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:02:23.948 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:02:23.948406
2026-02-14 11:02:23.975 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:02:24.274 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:02:24.299 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:02:24.307 | WARNING  | app.auth.jwt:<module>:36 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 11:02:24.342 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:02:24.410 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:02:24.508 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:02:24.591 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:02:24.652 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:02:24.652404
2026-02-14 11:02:24.707 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:02:25.512 | WARNING  | app.auth.jwt:<module>:36 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 11:02:26.313 | INFO     | app.sentiment.strategies:__init__:137 | LexiconStrategy initialized
2026-02-14 11:02:26.326 | INFO     | app.sentiment.strategies:__init__:190 | PatternStrategy initialized
2026-02-14 11:02:26.395 | INFO     | app.sentiment.strategies:__init__:296 | StatisticalStrategy initialized
2026-02-14 11:02:26.436 | INFO     | app.sentiment.rules:__init__:125 | SentimentRulesEngine initialized
2026-02-14 11:02:26.444 | INFO     | app.sentiment.analyzer:__init__:37 | SentimentAnalyzer initialized
2026-02-14 11:02:26.998 | INFO     | app.sentiment.strategies:__init__:137 | LexiconStrategy initialized
2026-02-14 11:02:27.012 | INFO     | app.sentiment.strategies:__init__:190 | PatternStrategy initialized
2026-02-14 11:02:27.054 | INFO     | app.sentiment.strategies:__init__:296 | StatisticalStrategy initialized
2026-02-14 11:02:27.095 | INFO     | app.sentiment.rules:__init__:125 | SentimentRulesEngine initialized
2026-02-14 11:02:27.129 | INFO     | app.sentiment.analyzer:__init__:37 | SentimentAnalyzer initialized
2026-02-14 11:02:35.728 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:02:35.733 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:02:35.734 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:02:35.736 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:02:35.736 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:02:35.738 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:02:35.739 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:02:35.741 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:02:35.752 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:02:35.752 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:02:35.757 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:02:35.757074
2026-02-14 11:02:35.755 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:02:35.758 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:02:35.767 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:02:35.801 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:02:35.801564
2026-02-14 11:02:35.856 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:02:36.104 | WARNING  | app.auth.jwt:<module>:36 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 11:02:36.480 | WARNING  | app.auth.jwt:<module>:36 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 11:02:37.455 | INFO     | app.sentiment.strategies:__init__:137 | LexiconStrategy initialized
2026-02-14 11:02:37.462 | INFO     | app.sentiment.strategies:__init__:190 | PatternStrategy initialized
2026-02-14 11:02:37.464 | INFO     | app.sentiment.strategies:__init__:296 | StatisticalStrategy initialized
2026-02-14 11:02:37.465 | INFO     | app.sentiment.rules:__init__:125 | SentimentRulesEngine initialized
2026-02-14 11:02:37.476 | INFO     | app.sentiment.analyzer:__init__:37 | SentimentAnalyzer initialized
2026-02-14 11:02:37.662 | INFO     | app.sentiment.strategies:__init__:137 | LexiconStrategy initialized
2026-02-14 11:02:37.692 | INFO     | app.sentiment.strategies:__init__:190 | PatternStrategy initialized
2026-02-14 11:02:37.703 | INFO     | app.sentiment.strategies:__init__:296 | StatisticalStrategy initialized
2026-02-14 11:02:37.751 | INFO     | app.sentiment.rules:__init__:125 | SentimentRulesEngine initialized
2026-02-14 11:02:37.794 | INFO     | app.sentiment.analyzer:__init__:37 | SentimentAnalyzer initialized
2026-02-14 11:04:39.618 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:04:39.622 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:04:39.622 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:04:39.627 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:04:39.627 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:04:39.628 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:04:39.628 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:04:39.628653
2026-02-14 11:04:39.629 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:04:39.686 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:04:39.714 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:04:39.751 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:04:39.803 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
